LoyaltyID,CustomerID,PointsEarned,TierLevel,JoinDate
89,94,3547,Bronze,2022-12-06T00:00:00.000Z
57,91,3141,Silver,2024-07-04T00:00:00.000Z
25,55,187,Gold,2021-06-27T00:00:00.000Z
27,6,908,Gold,2025-02-12T00:00:00.000Z
51,25,2864,Silver,2021-05-23T00:00:00.000Z
59,79,290,Platinum,2024-08-26T00:00:00.000Z
79,14,686,Gold,2020-07-25T00:00:00.000Z
68,1,4706,Bronze,2022-02-02T00:00:00.000Z
20,29,3435,Bronze,2022-06-07T00:00:00.000Z
62,9,4603,Platinum,2024-07-07T00:00:00.000Z
80,63,4863,Gold,2021-10-19T00:00:00.000Z
12,86,4396,Bronze,2020-11-01T00:00:00.000Z
30,41,4934,Bronze,2024-07-05T00:00:00.000Z
74,10,4035,Gold,2023-03-18T00:00:00.000Z
39,27,1671,Gold,2025-01-30T00:00:00.000Z
67,57,700,Platinum,2022-03-10T00:00:00.000Z
69,51,2596,Bronze,2021-07-10T00:00:00.000Z
23,17,1594,Bronze,2022-03-03T00:00:00.000Z
70,31,1338,Gold,2023-12-27T00:00:00.000Z
76,43,3583,Platinum,2021-09-28T00:00:00.000Z
96,12,3847,Bronze,2024-04-22T00:00:00.000Z
82,83,2572,Bronze,2022-11-13T00:00:00.000Z
37,53,3021,Gold,2020-03-12T00:00:00.000Z
91,96,2155,Silver,2022-04-17T00:00:00.000Z
29,23,2054,Platinum,2023-10-29T00:00:00.000Z
95,90,2411,Bronze,2024-12-24T00:00:00.000Z
56,84,3052,Silver,2024-02-06T00:00:00.000Z
8,51,1697,Silver,2022-04-14T00:00:00.000Z
63,13,3859,Gold,2024-11-26T00:00:00.000Z
19,20,337,Gold,2024-09-06T00:00:00.000Z
24,14,3707,Platinum,2023-05-23T00:00:00.000Z
40,8,177,Gold,2023-06-07T00:00:00.000Z
87,18,3061,Silver,2020-04-10T00:00:00.000Z
17,35,4512,Silver,2021-07-03T00:00:00.000Z
18,41,1645,Bronze,2020-06-07T00:00:00.000Z
31,52,3906,Gold,2024-09-18T00:00:00.000Z
50,44,2012,Platinum,2020-02-10T00:00:00.000Z
84,64,2401,Platinum,2021-01-14T00:00:00.000Z
98,20,3924,Silver,2021-12-20T00:00:00.000Z
13,36,2411,Silver,2024-07-05T00:00:00.000Z
65,36,4033,Gold,2022-03-30T00:00:00.000Z
53,23,3853,Platinum,2022-02-28T00:00:00.000Z
42,1,2914,Silver,2021-10-29T00:00:00.000Z
52,86,4244,Gold,2021-11-17T00:00:00.000Z
97,3,1896,Silver,2022-02-17T00:00:00.000Z
38,54,876,Silver,2020-10-19T00:00:00.000Z
32,29,3899,Bronze,2022-03-24T00:00:00.000Z
46,72,2122,Platinum,2023-12-30T00:00:00.000Z
54,88,3542,Gold,2023-10-20T00:00:00.000Z
58,100,1824,Silver,2024-01-21T00:00:00.000Z
22,21,1803,Silver,2024-04-15T00:00:00.000Z
26,51,3024,Bronze,2020-09-15T00:00:00.000Z
44,28,1629,Bronze,2022-12-10T00:00:00.000Z
73,35,4532,Gold,2024-09-16T00:00:00.000Z
47,97,182,Silver,2024-12-06T00:00:00.000Z
60,3,2969,Gold,2020-02-11T00:00:00.000Z
72,39,2157,Silver,2020-12-10T00:00:00.000Z
49,63,3140,Gold,2023-04-18T00:00:00.000Z
71,34,3864,Bronze,2025-01-27T00:00:00.000Z
66,49,2709,Bronze,2022-06-04T00:00:00.000Z
75,72,309,Silver,2024-03-10T00:00:00.000Z
78,94,178,Platinum,2025-02-02T00:00:00.000Z
55,50,3882,Platinum,2020-09-17T00:00:00.000Z
77,67,1156,Silver,2021-03-23T00:00:00.000Z
